"Min","Max","SampleSize"
"1","1","1"
"2","2","2"
"3","8","3"
"9","15","4"
"16","25","5"
"26","50","7"
"51","90","10"
"91","150","13"
"151","280","17"
"281","500","25"
"501","1200","32"
"1201","3200","55"
"3201","10000","100"
"10001","10002","0"
